315,Theo Bongonda,MF,Cádiz,27,1995
316,Kevin Bonifazi,DF,Bologna,26,1996
317,Leonardo Bonucci,DF,Juventus,35,1987
318,Neto Borges,DF,Clermont Foot,26,1996
319,Yvandro Borges Sanches,FWMF,M'Gladbach,18,2004
320,Sebastiaan Bornauw,DF,Wolfsburg,23,1999
321,Rafael Borré,FWMF,Eint Frankfurt,27,1995
322,Erik Botheim,FW,Salernitana,23,2000
323,Sven Botman,DF,Newcastle Utd,23,2000
324,Kenji-Van Boto,DF,Auxerre,26,1996
325,Kouamé Botué,FWMF,Ajaccio,20,2002
326,Badredine Bouanani,FWMF,Nice,18,2004
327,Hicham Boudaoui,MF,Nice,23,1999
328,Franci Bouebari,DF,Strasbourg,19,2003
329,Sofiane Boufal,FWMF,Angers,29,1993
330,Wassim Boullif,DFMF,Espanyol,18,2005
331,Yassine Bounou,GK,Sevilla,31,1991
332,Ismaëlben Boura,DFFW,Lens,22,2000
333,Mehdi Bourabia,MF,Spezia,31,1991
334,Benjamin Bourigeaud,MFFW,Rennes,29,1994
335,Edoardo Bove,MF,Roma,20,2002
336,Jarrod Bowen,FWMF,West Ham,26,1996
337,Lucas Boyé,FW,Elche,26,1996
338,Jayden Braaf,MF,Hellas Verona,20,2002
339,Domagoj Bradari?,DF,Salernitana,23,1999
340,Bilal Brahimi,FWMF,Nice,22,2000
341,Martin Braithwaite,FWMF,Espanyol,31,1991
342,Juan Brandáriz,DF,Almería,23,1999
343,Julian Brandt,MFFW,Dortmund,26,1996
344,Darko Brašanac,MF,Osasuna,31,1992
345,Lilian Brassier,DF,Brest,23,1999
346,Claudio Bravo,GK,Betis,39,1983
347,Fabian Bredlow,GK,Stuttgart,27,1995
348,James Bree,DF,Southampton,25,1997
349,Josip Brekalo,FW,Fiorentina,24,1998
350,Josip Brekalo,MFFW,Wolfsburg,24,1998
351,Gleison Bremer,DF,Juventus,25,1997
352,Armando Broja,FW,Chelsea,21,2001
353,Dylan Bronn,DF,Salernitana,27,1995
354,John Brooks,DF,Hoffenheim,30,1993
355,Moritz Broschinski,FW,Bochum,22,2000
356,Marcelo Brozovi?,MF,Inter,30,1992
357,Cédric Brunner,DF,Schalke 04,28,1994
358,Lewis Brunt,DF,Leicester City,22,2000
359,Jacob Bruun Larsen,FW,Hoffenheim,24,1998
360,Andreas Bruus,DFFW,Troyes,24,1999
361,Bryan,MFFW,Tottenham,22,2001
362,Bryan,DFMF,Sevilla,22,2001
363,Joe Bryan,MFDF,Nice,29,1993
364,Lee Buchanan,DFFW,Werder Bremen,21,2001
365,Ante Budimir,FW,Osasuna,31,1991
366,Emi Buendía,MFFW,Aston Villa,26,1996
367,Hugo Bueno,DF,Wolves,20,2002
368,Santiago Bueno,DF,Girona,24,1998
369,Adam Buksa,FWMF,Lens,26,1996
370,Marius Bülter,FWMF,Schalke 04,29,1993
371,Cristian Buonaiuto,MFFW,Cremonese,30,1992
372,Facundo Buonanotte,MFFW,Brighton,18,2004
373,Alessandro Buongiorno,DF,Torino,23,1999
374,Delano Burgzorg,FWMF,Mainz 05,24,1998
375,Jonathan Burkardt,MFFW,Mainz 05,22,2000
376,Oliver Burke,FWMF,Werder Bremen,25,1997
377,Dan Burn,DF,Newcastle Utd,30,1992
378,Maxime Busi,DF,Reims,23,1999
379,Sergio Busquets,MF,Barcelona,34,1988
380,Aurélio Buta,DF,Eint Frankfurt,26,1997
381,Marcin Bu?ka,GK,Nice,23,1999
382,Jamie Bynoe-Gittens,FWMF,Dortmund,18,2004
383,Juan Cabal,DF,Hellas Verona,22,2001
384,Rémy Cabella,MFFW,Lille,32,1990
385,Jimmy Cabot,DFMF,Lens,28,1994
386,Leandro Cabrera,DF,Espanyol,31,1991
387,Liberato Cacace,DF,Empoli,22,2000
388,Anthony Caci,DF,Mainz 05,25,1997
389,Cafú,MF,Nott'ham Forest,29,1993
390,Moisés Caicedo,MF,Brighton,21,2001
391,Tom Cairney,MF,Fulham,32,1991
392,Jens Cajuste,MF,Reims,23,1999
393,Cala,DF,Cádiz,33,1989
394,Davide Calabria,DF,Milan,26,1996
395,Mattia Caldara,DF,Spezia,28,1994
396,Luca Caldirola,DF,Monza,32,1991
397,Fernando Calero,DFMF,Espanyol,27,1995
398,Duje ?aleta-Car,DF,Southampton,26,1996
399,Duje ?aleta-Car,DF,Marseille,26,1996
400,Hakan Çalhanoðlu,MF,Inter,29,1994
401,Kerim Calhanoglu,DF,Schalke 04,20,2002
402,Daniel Caligiuri,DFMF,Augsburg,35,1988
403,Alexander Callens,DF,Girona,30,1992
404,Dominic Calvert-Lewin,FW,Everton,25,1997
405,Mahdi Camara,MF,Brest,24,1998
406,Mohamed Camara,MF,Roma,25,1997
407,Mohamed Camara,MF,Monaco,23,2000
408,Ousmane Camara,FWMF,Auxerre,21,2001
409,Ousmane Camara,DF,Angers,19,2003
410,Eduardo Camavinga,MFDF,Real Madrid,20,2002
